Date,Title,Link,Status,Source
"""Nov 29, 2017""","""Blockchain Won't Destroy Wells\u00a0Fargo""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4128278-blockchain-destroy-wells-fargo&cid=52779692416971&ei=57cgWtjrGNihjAHU9JWIAg&usg=AFQjCNGsKJIksW5fY2F8F76cNTxx9fHPow""",1,"""Seeking Alpha"""
"""Nov 29, 2017""","""New Mexico AG to ask Wells Fargo for damages in accounts\u00a0scandal""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/us-wells-fargo-accounts-investigation/new-mexico-ag-to-ask-wells-fargo-for-damages-in-accounts-scandal-idUSKBN1DT38T&cid=52779696530793&ei=57cgWtjrGNihjAHU9JWIAg&usg=AFQjCNHXRpTkx9riAcsj2KfN9bv0CSraBQ""",2,"""Reuters"""
"""Nov 17, 2017""","""Wells Fargo ousts consumer lending head over communication that was 'contrary\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.cnbc.com/2017/11/17/wells-fargo-ousts-consumer-lending-head-over-communication.html&cid=52779679692623&ei=57cgWtjrGNihjAHU9JWIAg&usg=AFQjCNFWnNqyFaH0-9i_oQAfO0t66rnFXQ""",3,"""CNBC"""
"""9 hours ago""","""H2O.AI snares $40M Series C investment led by Wells Fargo and\u00a0Nvidia""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://techcrunch.com/2017/11/30/h20-ais-snares-40m-series-c-investment-led-by-wells-fargo-and-nvidia/&cid=52779698216671&ei=57cgWtjrGNihjAHU9JWIAg&usg=AFQjCNEENXn1FB9VGf66jlPt6fmzP1e44A""",Not Reachable,"""TechCrunch"""
"""Nov 28, 2017""","""Industry Group Rank Make Wells Fargo & Co (WFC) a\u00a0Sell""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/industry-group-rank-make-wells-fargo-co-wfc-a-sell-2/&cid=52779694749808&ei=57cgWtjrGNihjAHU9JWIAg&usg=AFQjCNGTK2njJRIVmERBDs7cMmytJDisoA""",4,"""Investorplace.com"""
"""Nov 10, 2017""","""Wells Fargo Will\u00a0Outperform""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4123406-wells-fargo-will-outperform&cid=52779668798924&ei=57cgWtjrGNihjAHU9JWIAg&usg=AFQjCNFAZWJivL1ju6_hHKdnujeUBGdRHg""",Not Reachable,"""Seeking Alpha"""
"""Nov 3, 2017""","""Wells Fargo Adds $1 Billion to Possible Legal\u00a0Cost""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-03/wells-fargo-adds-1-billion-to-possible-legal-cost-as-woes-mount&cid=52779661557184&ei=57cgWtjrGNihjAHU9JWIAg&usg=AFQjCNHilR0-xzrajiZKe7_4HVi30eJnlw""",5,"""Bloomberg"""
"""Nov 14, 2017""","""JPMorgan, Wells Fargo Form Company to Handle Partnership\u00a0Vetting""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-14/jpmorgan-wells-fargo-form-company-to-handle-partnership-vetting&cid=52779675811982&ei=57cgWtjrGNihjAHU9JWIAg&usg=AFQjCNFAxByldyqyV_vq32TvWges_8rfzQ""",6,"""Bloomberg"""
"""Nov 23, 2017""","""Investigation Relating to 401(k) Plans of Wells Fargo & Co (NYSE:WFC\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://globenewswire.com/news-release/2017/11/23/1205306/0/en/Investigation-Relating-to-401-k-Plans-of-Wells-Fargo-Co-NYSE-WFC-Announced-by-Stull-Stull-Brody.html&cid=52779684558569&ei=57cgWtjrGNihjAHU9JWIAg&usg=AFQjCNHii-v2I7pk0BwdVItaqU1F29GXBA""",7,"""GlobeNewswire (press release)"""
"""Nov 2, 2017""","""Wells Fargo unveils app aimed at\u00a0millennials""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/us-usa-banks-conference-wells-fargo/wells-fargo-unveils-app-aimed-at-millennials-idUSKBN1D21XW&cid=52779659659147&ei=57cgWtjrGNihjAHU9JWIAg&usg=AFQjCNHcjaJac1EFOc-GjsCgdGFbU49b4w""",8,"""Reuters"""
