Date,Title,Link,Status,Source
"""Nov 25, 2017""","""What to Expect From Wal-Mart Stores Inc. in\u00a02018""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/25/what-to-expect-from-wal-mart-stores-inc-in-2018.aspx&cid=52779689056800&ei=grkgWonzOsS6jAHwso7gBA&usg=AFQjCNENXkJ_l-s_90DG-iVWTaY3_6RZCQ""",1,"""Motley Fool"""
"""Nov 27, 2017""","""Exclusive: Cyber Monday showdown - Wal-Mart closes in on Amazon in online\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/us-walmart-onlineprices-amazon-excluisve/exclusive-cyber-monday-showdown-wal-mart-closes-in-on-amazon-in-online-price-war-idUSKBN1DR0I6&cid=52779693379498&ei=grkgWonzOsS6jAHwso7gBA&usg=AFQjCNEXxkcaYP7yg34voFDp8NeF5FKjZA""",2,"""Reuters"""
"""Nov 17, 2017""","""Wal-Mart Stores Inc. Delivers 50% E-Commerce\u00a0Growth""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/17/wal-mart-stores-inc-delivers-50-e-commerce-growth.aspx&cid=52779680049456&ei=grkgWonzOsS6jAHwso7gBA&usg=AFQjCNHLdjhYd8Qjk1eYVzOCgMuI47OXuw""",3,"""Motley Fool"""
"""Nov 22, 2017""","""Better Buy: Wal-Mart Stores Inc. vs. JC\u00a0Penney""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/22/better-buy-wal-mart-stores-inc-vs-jc-penney.aspx&cid=52779685980153&ei=grkgWonzOsS6jAHwso7gBA&usg=AFQjCNEk6z90AdfTgTbgxcE-8z5hwcgc3g""",4,"""Motley Fool"""
"""Nov 26, 2017""","""Wal-Mart Starting To Tame The Amazon\u00a0Beast?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127686-wal-mart-starting-tame-amazon-beast&cid=52779690267024&ei=grkgWonzOsS6jAHwso7gBA&usg=AFQjCNG4PTFryQvYVHgVk7fecbuLJrty5A""",Not Reachable,"""Seeking Alpha"""
"""Nov 21, 2017""","""What Amazon and Walmart Can Expect From Black\u00a0Friday""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://money.usnews.com/investing/stock-market-news/articles/2017-11-20/what-amazon-com-inc-amzn-wal-mart-stores-inc-wmt-stock&cid=52779683619341&ei=grkgWonzOsS6jAHwso7gBA&usg=AFQjCNHAT_HyybFKbzxAK22uC0UnLiAqzA""",Not Reachable,"""U.S. News & World Report"""
"""Nov 20, 2017""","""Alibaba Takes Huge Stake in Walmart\u00a0Competitor""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.usnews.com/investing/stock-market-news/articles/2017-11-20/alibaba-group-holding-ltd-baba-wal-mart-stores-inc-wmt-stock&cid=52779682926223&ei=grkgWonzOsS6jAHwso7gBA&usg=AFQjCNEnoJgv9jW7L7ywpoqUTttAIch4Yg""",Not Reachable,"""U.S. News & World Report"""
"""Nov 16, 2017""","""It's Not Too Late to Join the Wal-Mart Stores Inc Love\u00a0Fest""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://finance.yahoo.com/news/not-too-join-wal-mart-152425850.html&cid=52779677019158&ei=grkgWonzOsS6jAHwso7gBA&usg=AFQjCNH2F1WY2XuvxGnKor2GP-PRVLz3Pg""",5,"""Yahoo Finance"""
"""7 hours ago""","""Wal-Mart Already Has a Thriving Online Grocery Business\u2014in\u00a0China""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-30/wal-mart-already-has-a-thriving-online-grocery-business-in-china&cid=52779698368385&ei=grkgWonzOsS6jAHwso7gBA&usg=AFQjCNF6GC0QGlfLpwJoqLCvDuN6BN0trg""",6,"""Bloomberg"""
"""9 hours ago""","""Kroger rings up gains in fight against Wal-Mart,\u00a0Amazon""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.foxbusiness.com/features/2017/11/30/kroger-rings-up-gains-in-fight-against-wal-mart-amazon.html&cid=52779697759965&ei=grkgWonzOsS6jAHwso7gBA&usg=AFQjCNF8gBwgjBtTB4mdvTAJ3HcuQQbn1w""",7,"""Fox Business"""
