Date,Title,Link,Status,Source
"""Nov 28, 2017""","""Can New CEO Woods Get Exxon Mobil's Mojo\u00a0Back?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4128036-can-new-ceo-woods-get-exxon-mobils-mojo-back&cid=52779694552967&ei=CbogWoGsG47ijAGO95OIBQ&usg=AFQjCNH5PShboNCM8sTH_HdcJ98YF-_how""",Not Reachable,"""Seeking Alpha"""
"""Nov 27, 2017""","""Exxon to restructure refining\u00a0operations""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/news/3314367-exxon-restructure-refining-operations&cid=0&ei=CbogWoGsG47ijAGO95OIBQ&usg=AFQjCNEHkw0yCiey-T0rj6jhDr9N9Mw6AQ""",Not Reachable,"""Seeking Alpha"""
"""Nov 20, 2017""","""Exxon Mobil's Renewable Energy\u00a0Moonshots""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4126346-exxon-mobils-renewable-energy-moonshots&cid=0&ei=CbogWoGsG47ijAGO95OIBQ&usg=AFQjCNFIqEjiGXIaL9pt9BIbMiAzUkTkmQ""",1,"""Seeking Alpha"""
"""Nov 15, 2017""","""Exxon Mobil: Debunking The Chemical\u00a0Drag""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4125111-exxon-mobil-debunking-chemical-drag&cid=52779675390802&ei=CbogWoGsG47ijAGO95OIBQ&usg=AFQjCNHKAKK4QLQ81Ruz6B3rLS_teQQUaw""",Not Reachable,"""Seeking Alpha"""
"""4 hours ago""","""Exxon Claim of Bogus Schneiderman Probe Questioned by\u00a0Judge""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-30/exxon-s-claim-of-bogus-probe-by-schneiderman-questioned-by-judge&cid=52779696159500&ei=CbogWoGsG47ijAGO95OIBQ&usg=AFQjCNE-hQmpTy0tfx5ojjV1OUBrV4gvkQ""",2,"""Bloomberg"""
"""Nov 17, 2017""","""Why You Should Buy Exxon Mobil's 3.8%\u00a0Yield""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4125897-buy-exxon-mobils-3_8-percent-yield&cid=52779678328312&ei=CbogWoGsG47ijAGO95OIBQ&usg=AFQjCNHCpZcC_M_ndvdYm_k9cJ4Ro1GQMw""",Not Reachable,"""Seeking Alpha"""
"""Nov 7, 2017""","""Exxon Mobil: Rating\u00a0Update""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4121563-exxon-mobil-rating-update&cid=52779664326249&ei=CbogWoGsG47ijAGO95OIBQ&usg=AFQjCNHkg9seLwR3BUkfeZUbQNqdyB-wBg""",Not Reachable,"""Seeking Alpha"""
"""Nov 29, 2017""","""Exxon nears exploration deal for offshore Mauritania, official\u00a0says""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/news/3315161-exxon-nears-exploration-deal-offshore-mauritania-official-says&cid=52779696582913&ei=CbogWoGsG47ijAGO95OIBQ&usg=AFQjCNHCuEdFtSKcYzhqCEHpTYq-BEs21g""",Not Reachable,"""Seeking Alpha"""
"""Nov 2, 2017""","""ExxonMobil Still The Top Integrated To Own - For\u00a0Now""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4119722-exxonmobil-still-top-integrated-now&cid=0&ei=CbogWoGsG47ijAGO95OIBQ&usg=AFQjCNERlUuL1nFK6M2CN_-HI-pVHYJGcw""",Not Reachable,"""Seeking Alpha"""
"""Nov 28, 2017""","""ExxonMobil starts production at Hebron\u00a0field""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.worldoil.com/news/2017/11/28/exxonmobil-starts-production-at-hebron-field&cid=52779694642122&ei=CbogWoGsG47ijAGO95OIBQ&usg=AFQjCNE0kYjglBKMuDf8fF5jHfaJw_2WmA""",3,"""WorldOil"""
