,AABA,AAL,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMGN,AMTD,AMZN,ASML,ATVI,AVGO,BATRA,BATRK,BIDU,CELG,CERN,CHTR,CMCSA,CME,COST,CSCO,CSX,CTRP,CTSH,DISH,DLTR,EA,EBAY,EQIX,ERIC,ESRX,EXPE,FB,FISV,FITB,FOX,GILD,GOOG,GOOGL,IBKR,ILMN,INCY,INTC,INTU,ISRG,JD,KHC,LRCX,LSXMA,LSXMK,MAR,MCHP,MDLZ,MNST,MSFT,MU,MYL,NFLX,NTES,NTRS,NVDA,NXPI,ORLY,PAYX,PCAR,PCLN,PFF,PYPL,QCOM,QQQ,REGN,ROST,RYAAY,SBAC,SBUX,SHPG,SIRI,SWKS,TMUS,TROW,TSLA,TXN,VCSH,VOD,VRTX,WB,WBA,WDAY,WDC,WLTW,WPPGY,XLNX,ABBV,ABEV,ABT,ACN,AXP,AZN,BA,BABA,BAC,BBL,BHP,BLK,BMY,BNS,BP,BTI,BUD,C,CAT,CHL,CVS,CVX,DCM,DEO,DIS,DWDP,GE,GS,GSK,HD,HDB,HON,HSBC,IBM,ING,ISF,ITUB,JNJ,JPM,KO,LFC,LLY,LMT,MA,MCD,MDT,MMM,MO,MRK,MS,MTU,NEE,NKE,NVO,NVS,ORCL,PEP,PFE,PG,PM,PTR,RIO,RY,SAN,SAP,SLB,SNP,SNY,T,TD,TM,TMO,TOT,TSM,UL,UN,UNH,UNP,UPS,USB,UTX,V,VZ,WBK,WFC,WMT,XOM
AABA,0,0.168148623,0.251146769,0.206433925,0.537638977,0.634125928,0.237865325,0.263421139,0.65576229,0.246358908,0.610344267,0.49005605,0.294694492,0.172526727,0.360031842,0.180822832,0.487306423,0.510917337,0.224622002,0.231701051,0.267724103,0.491786961,0.461492226,0.21872945,0.238186848,0.244984049,0.343977417,0.315043309,0.537345775,0.340652214,0.186723557,0.63265712,0.55723392,0.377844252,0.235327957,0.383828247,0.216276291,0.270775667,0.49880849,0.390675623,0.220453354,0.625500776,0.238650342,0.201814258,0.165864869,0.231691135,0.720373869,0.517692688,0.278076493,0.257572993,0.349581955,0.279423302,0.226425859,0.61055197,0.604333577,0.187509967,0.57460831,0.24597617,0.287233289,0.272114057,0.183964281,0.450435848,0.344447366,0.236512838,0.281616942,0.215883341,0.644152466,0.265610133,0.32146894,0.638144693,0.614454352,0.22715775,0.225450782,0.291065227,0.210314915,0.591422266,0.202243655,0.172504545,0.30376991,0.346215145,0.29956309,0.427590333,0.60233578,0.303430796,0.208270475,0.461400524,0.185749658,0.507054027,0.216603841,0.403948466,0.232619258,0.311085299,0.178850114,0.284452571,0.560741357,0.562993616,0.464328038,0.257828521,0.279561041,0.225202488,0.219918273,0.488809025,0.408726017,0.140600692,0.106795149,0.57467244,0.304933912,0.308238154,0.195787561,0.300774193,0.298708441,0.356167458,0.16603987,0.561798216,0.58425512,0.270766961,0.189605529,0.269862636,0.293662017,0.274958664,0.268700424,0.280762167,0.491809973,0.614299366,0.599284395,0.458064095,0.235611878,0.153852025,0.243771366,0.301360075,0.430637894,0.509873657,0.230346514,0.225722031,0.41903852,0.579115449,0.440721445,0.385591823,0.216562747,0.210991042,0.238919746,0.267390624,0.282206958,0.264931538,0.263612585,0.457753234,0.47688552,0.359296434,0.321597679,0.230089914,0.201803043,0.161249105,0.628547826,0.26257254,0.194493876,0.295766985,0.497361429,0.334536314,0.283222895,0.25332362,0.448512948,0.237234976,0.560408018,0.469481514,0.432184981,0.237680791,0.179997045,0.258811124,0.318636214,0.200494025,0.382625309,0.248586637,0.255467051,0.240703096,0.259252233,0.51754665,0.204235024,0.580850331,0.202809407,0.356657735,0.680183598,0.628270984,0.232803518,0.569704278
AAL,0.168148623,0,0.374410359,0.342525564,0.549801737,0.580348582,0.215529043,0.34727652,0.599433534,0.282252249,0.585026892,0.415277439,0.303083721,0.219484665,0.278209507,0.235755206,0.38339914,0.398465172,0.210569968,0.225205237,0.234015794,0.604580615,0.451719836,0.211111373,0.347685893,0.235599571,0.341404722,0.258775098,0.479241898,0.424361124,0.26538592,0.548944956,0.546378301,0.497799914,0.214231241,0.320448586,0.16684274,0.223194717,0.524231303,0.346199443,0.273395573,0.523078332,0.266089689,0.261326394,0.227905441,0.262539043,0.654012477,0.590755499,0.356718789,0.35506105,0.553157011,0.333710598,0.269107996,0.524783705,0.51347172,0.222095182,0.535243926,0.25373725,0.349390293,0.227666908,0.252628713,0.473082376,0.294232234,0.324012237,0.205304177,0.264904512,0.628953558,0.195476066,0.348709489,0.55540594,0.534357159,0.19552355,0.323390413,0.412482353,0.258926912,0.590764116,0.302194457,0.265608517,0.297348116,0.522248986,0.170267457,0.339491057,0.57297165,0.202407292,0.207571859,0.37855297,0.269504879,0.396900097,0.288181781,0.373617502,0.338012464,0.366613551,0.141239708,0.328407086,0.598861279,0.533302954,0.444804954,0.362015782,0.167459589,0.291822152,0.275711274,0.496162261,0.368588539,0.297589673,0.190128993,0.496191297,0.355091454,0.409608999,0.152867732,0.310076272,0.419817565,0.384807293,0.240607635,0.44522088,0.49899361,0.30807679,0.225870707,0.332568395,0.359304511,0.291306519,0.253317953,0.412701253,0.381435296,0.570885582,0.573149139,0.345402444,0.209813701,0.248181789,0.269915961,0.264501739,0.266827179,0.396891464,0.228611122,0.195061344,0.349903633,0.488824412,0.483969636,0.407050135,0.220584105,0.308448897,0.269045409,0.323634158,0.219224982,0.206312035,0.31794659,0.49574268,0.397014684,0.227944059,0.196551621,0.275212534,0.220988535,0.216964547,0.591462144,0.306821397,0.258892527,0.31457913,0.442095934,0.471368065,0.341506395,0.299397616,0.361243064,0.196676667,0.597537382,0.424251355,0.310487385,0.204117068,0.254599907,0.295982297,0.231860269,0.210458665,0.356812714,0.212860208,0.2112247,0.306437207,0.257072628,0.473786442,0.256195457,0.56234149,0.208674915,0.228596691,0.616060632,0.540023399,0.324882392,0.485773628
AAPL,0.251146769,0.374410359,0,0.224785662,0.495214824,0.616807077,0.399905443,0.27931996,0.560981476,0.374265079,0.547021131,0.452352324,0.395116508,0.212137487,0.460439824,0.208585244,0.512190161,0.530922052,0.218199479,0.305904993,0.381855987,0.35784676,0.329258646,0.237750815,0.241953877,0.415142999,0.321904413,0.329725741,0.519225448,0.210244839,0.367937503,0.595006191,0.443222542,0.192744973,0.270986156,0.460158089,0.286843391,0.390814292,0.40368668,0.416152078,0.304003265,0.549394252,0.259070159,0.237212908,0.256234149,0.275783109,0.625849873,0.335855091,0.281378777,0.301854336,0.217973459,0.214487965,0.322831466,0.634915649,0.610925914,0.357272964,0.558087173,0.320879822,0.259817089,0.302479491,0.375763511,0.292508102,0.406752945,0.268923026,0.338709918,0.240045598,0.583966205,0.331395331,0.282638123,0.54250104,0.53071527,0.372364432,0.322941648,0.292130396,0.268051983,0.489149319,0.425859139,0.387965861,0.202958384,0.228587598,0.393086076,0.401617835,0.523795215,0.409921644,0.339221707,0.451934251,0.187154279,0.495376304,0.308280505,0.291611776,0.251184724,0.209659373,0.358453477,0.360940798,0.440020148,0.465906926,0.434400972,0.176071136,0.43497332,0.245606984,0.381737207,0.404058701,0.368653959,0.189340848,0.259433546,0.443005449,0.195869297,0.163944301,0.262830897,0.281650902,0.243805591,0.306855575,0.340579094,0.483464398,0.475539945,0.277518359,0.23610772,0.259054692,0.238042343,0.348082946,0.390544911,0.237168022,0.49805763,0.521298998,0.507752746,0.422939794,0.388481249,0.291893597,0.369151964,0.405792054,0.461288075,0.550431287,0.382444294,0.343660516,0.392863227,0.479552321,0.342601446,0.28483531,0.249013187,0.255884641,0.382233943,0.217958836,0.342479389,0.337317554,0.297599745,0.361815934,0.45156507,0.397549259,0.254243354,0.412496183,0.395118258,0.298254957,0.544695507,0.3082073,0.241694843,0.267535278,0.432480183,0.217795142,0.170265668,0.216924229,0.48789911,0.310333696,0.432047574,0.416602326,0.448653979,0.282556368,0.289537646,0.259392218,0.336652729,0.258265541,0.412697074,0.34909634,0.362585777,0.222492358,0.226332832,0.502582377,0.244912924,0.482181821,0.214718891,0.442086351,0.58065945,0.517794117,0.375607037,0.474449137
ADBE,0.206433925,0.342525564,0.224785662,0,0.581783353,0.679445706,0.319969101,0.179057685,0.681465694,0.329173865,0.656838238,0.548955577,0.241079997,0.25587601,0.434178558,0.207582499,0.530953412,0.569296303,0.30605134,0.261124161,0.371418964,0.373207317,0.471514853,0.203022336,0.177887886,0.315110788,0.447849511,0.481157934,0.663382625,0.284221492,0.207791474,0.667011301,0.712412896,0.344440887,0.388419003,0.514628884,0.278359552,0.369598601,0.441637832,0.56062354,0.181324893,0.631018434,0.218452039,0.201106744,0.213191526,0.228003433,0.660528205,0.468759934,0.299942321,0.139613959,0.308668773,0.281083275,0.276935624,0.630293916,0.640505202,0.24855457,0.653712817,0.244224192,0.3326884,0.405897435,0.231076467,0.373052996,0.455111943,0.221559168,0.427612649,0.252633347,0.693076598,0.308214126,0.328638932,0.680660144,0.706292409,0.38618533,0.216509244,0.127450709,0.182886917,0.601116668,0.338604306,0.201848697,0.135434538,0.246331257,0.440551795,0.515856404,0.634222575,0.386834114,0.19955662,0.503186592,0.23732799,0.578276476,0.341824295,0.408887548,0.210532506,0.238460113,0.291595698,0.332618438,0.610532392,0.613786828,0.569765409,0.16538556,0.403441555,0.168907642,0.236304215,0.624163966,0.487285204,0.16603024,0.244040364,0.673390434,0.377239977,0.334337174,0.294895723,0.35381112,0.264485786,0.50821514,0.298368853,0.637545608,0.673095957,0.322812478,0.299705697,0.309676104,0.327421726,0.212024562,0.326040927,0.232316033,0.573301272,0.706654671,0.627392639,0.558814946,0.334725816,0.161150172,0.241752872,0.483746729,0.496430644,0.549339473,0.301054605,0.371714335,0.536934864,0.66438581,0.52729869,0.346185342,0.191674903,0.212658569,0.309031118,0.308615906,0.465772006,0.347964656,0.338411478,0.524640168,0.591673278,0.45279792,0.235313342,0.273698584,0.299643078,0.228612219,0.725909284,0.246998722,0.224255196,0.221345519,0.569566433,0.32811241,0.355703928,0.369826196,0.516788564,0.382504768,0.634481576,0.604684896,0.530400072,0.282844753,0.191659198,0.311061021,0.378636511,0.360290289,0.486824079,0.325178882,0.361968619,0.256805709,0.329527949,0.54937254,0.278931256,0.707301116,0.248609206,0.516311586,0.706783908,0.710851402,0.323861207,0.695870757
ADI,0.537638977,0.549801737,0.495214824,0.581783353,0,0.333918339,0.650929847,0.705831003,0.318483589,0.596907333,0.288500126,0.395354899,0.690811008,0.482764247,0.482394311,0.572520193,0.325736147,0.337346654,0.451105941,0.636971814,0.482746288,0.296301555,0.286098434,0.611536015,0.687450483,0.660995573,0.417871177,0.342782684,0.302956654,0.568444523,0.666234166,0.294868929,0.302237383,0.460100571,0.486473857,0.438195297,0.53671087,0.524397836,0.444054413,0.330907548,0.690526565,0.33482132,0.568703698,0.565542219,0.552957055,0.592185692,0.233396414,0.274909889,0.529412882,0.704276587,0.489369152,0.629409652,0.56329821,0.326692242,0.365257943,0.67897148,0.27869322,0.680328395,0.740685341,0.426639343,0.669805197,0.455411186,0.369572811,0.657514685,0.498531561,0.55320617,0.297266811,0.573605534,0.589226726,0.246875076,0.396493451,0.465500725,0.689188387,0.710743186,0.660500675,0.138368473,0.670182812,0.671243601,0.627217239,0.506597765,0.452402541,0.495740979,0.220743392,0.502133746,0.67515602,0.467720239,0.545977205,0.353450899,0.699707712,0.419483742,0.722057034,0.617430646,0.564377967,0.420210958,0.282271656,0.290114539,0.289973725,0.598102956,0.497593417,0.63102259,0.695619726,0.267925649,0.335079676,0.543982411,0.510229443,0.343896835,0.399328987,0.346723467,0.513224392,0.408345249,0.409062034,0.341572435,0.551992079,0.325929645,0.309270707,0.504422334,0.506457055,0.619458826,0.442015101,0.716724422,0.575532755,0.666875244,0.337270044,0.246326452,0.237557446,0.360606178,0.655328062,0.657028318,0.682552592,0.505194944,0.454053595,0.427125715,0.630729741,0.514707011,0.309416647,0.324916404,0.445023186,0.363532598,0.575014795,0.584336842,0.63321841,0.503206489,0.519268902,0.445208799,0.590540855,0.295050468,0.348362748,0.445016581,0.567113367,0.68653302,0.65956791,0.618060836,0.294483584,0.767435668,0.502773769,0.702948925,0.369808569,0.412469961,0.394338588,0.280502964,0.47214739,0.496778586,0.248970148,0.31747405,0.412165102,0.719778567,0.595700468,0.54099682,0.470768444,0.445372165,0.242385672,0.52406471,0.489612047,0.530778727,0.432701092,0.387839639,0.525125913,0.224246587,0.534214178,0.450498311,0.28675543,0.324907571,0.67710659,0.278963555
ADP,0.634125928,0.580348582,0.616807077,0.679445706,0.333918339,0,0.63918923,0.738320377,0.166318091,0.65380025,0.184360833,0.309299773,0.658180946,0.579169846,0.46936128,0.667240539,0.191475137,0.180354278,0.458427976,0.673385334,0.47367115,0.456865683,0.433019234,0.696101635,0.757950673,0.657720798,0.355285123,0.46193944,0.251469427,0.663472797,0.683504807,0.173446288,0.203312888,0.42480152,0.541026386,0.494464166,0.550311972,0.453881339,0.400076822,0.286360195,0.742078044,0.14909059,0.569449635,0.565060412,0.622648666,0.567917553,0.217765394,0.268609172,0.600094751,0.725400885,0.577215606,0.711614872,0.686327843,0.189483357,0.213292554,0.711968486,0.168298749,0.731158796,0.833641001,0.470191948,0.7321568,0.366802621,0.337319221,0.735357669,0.484873558,0.696504309,0.197630544,0.680265444,0.684151871,0.209555166,0.308434005,0.521643647,0.714926886,0.750800717,0.665801509,0.284610306,0.722385887,0.690656948,0.733133848,0.563097372,0.478866216,0.480869823,0.283918625,0.549391636,0.663936876,0.413681295,0.677617338,0.181945872,0.781821978,0.404749347,0.767342206,0.736281975,0.574032161,0.573596503,0.384115162,0.198852166,0.381323214,0.699307564,0.437210889,0.709312562,0.730342274,0.249303649,0.266611264,0.670011727,0.568219429,0.218918941,0.446978389,0.457461859,0.61321817,0.410002953,0.63879741,0.296306665,0.639534871,0.199713831,0.186380745,0.60249307,0.507173307,0.720448785,0.545340329,0.73378795,0.544300514,0.77406093,0.250607808,0.199347475,0.20303334,0.198711749,0.640862904,0.624640707,0.6860175,0.467225157,0.264621986,0.186591969,0.660407632,0.523627866,0.314499602,0.208523462,0.490858914,0.439358796,0.588170071,0.64967651,0.619941907,0.568045501,0.551457147,0.52042768,0.657615665,0.36334216,0.198771587,0.346848833,0.632492599,0.739301113,0.67922004,0.642901995,0.157843941,0.805609378,0.648600346,0.796283697,0.226781416,0.460755235,0.455671004,0.553247908,0.221687405,0.460009351,0.350808016,0.313745881,0.182585739,0.742639972,0.63073571,0.554448035,0.451858737,0.427891794,0.510488308,0.406786448,0.371544973,0.583056305,0.493890345,0.171146629,0.577772515,0.19409944,0.595755916,0.360045666,0.156850263,0.166361874,0.757093821,0.231932194
ADSK,0.237865325,0.215529043,0.399905443,0.319969101,0.650929847,0.63918923,0,0.284609389,0.74308667,0.247561301,0.708624783,0.513752992,0.20623295,0.275428704,0.338265955,0.218480639,0.469818776,0.492941341,0.215994257,0.195363132,0.209127977,0.569033687,0.452191238,0.210847135,0.259075465,0.130159782,0.41485834,0.278858101,0.68476742,0.380824775,0.200003016,0.704878299,0.651729463,0.573549144,0.310897206,0.380873957,0.190490997,0.187564491,0.50245043,0.398249521,0.280123383,0.617290882,0.223215065,0.239435377,0.200388353,0.203172941,0.733891109,0.645215777,0.313414487,0.26123795,0.426857514,0.267765162,0.185170087,0.564698246,0.569212475,0.135035619,0.645906403,0.192999257,0.236546326,0.385973687,0.172207815,0.436370408,0.433113562,0.254698201,0.237508441,0.289585466,0.687330228,0.220844927,0.257510696,0.734176847,0.587599971,0.157906176,0.169789799,0.352002694,0.224341328,0.722933676,0.198295947,0.164701822,0.285421307,0.408004345,0.313391361,0.352073974,0.679661625,0.194514504,0.170717839,0.388507614,0.267259661,0.547145076,0.191046061,0.48507026,0.295009595,0.302972914,0.146193787,0.26335864,0.564560037,0.667701648,0.538997327,0.271089466,0.236848846,0.249985667,0.177797103,0.587049481,0.467205617,0.320780227,0.247269151,0.564758661,0.471232766,0.494856089,0.217809167,0.419736779,0.413939472,0.582172433,0.185943257,0.581140727,0.59438599,0.344887751,0.270991392,0.234416431,0.449418082,0.253652911,0.207395239,0.363680124,0.515196839,0.757148914,0.716685273,0.495389584,0.155055949,0.182288472,0.2212396,0.278814669,0.374162661,0.517520579,0.109755914,0.200139536,0.5811632,0.550355984,0.47317532,0.549199677,0.232402469,0.247661767,0.18412624,0.30401085,0.254027855,0.216700496,0.230394165,0.591781587,0.521047644,0.272356814,0.2228175,0.182053683,0.125145882,0.161329566,0.702453848,0.203710634,0.272719552,0.263457435,0.471389694,0.544570944,0.459901547,0.433382347,0.402745811,0.291950417,0.709867798,0.620320586,0.425096521,0.177611172,0.217667425,0.318878101,0.31163546,0.379280454,0.434585695,0.297009094,0.279330597,0.318900559,0.333755801,0.466460719,0.267765034,0.691798925,0.311261294,0.294745161,0.719223822,0.622807646,0.227581322,0.674885374
ALGN,0.263421139,0.34727652,0.27931996,0.179057685,0.705831003,0.738320377,0.284609389,0,0.780822461,0.332408288,0.780592302,0.5508698,0.170968179,0.314474476,0.373149481,0.212313657,0.637073476,0.660153844,0.336660972,0.244224084,0.335647202,0.393055015,0.450814088,0.190188257,0.127056721,0.240704631,0.54768213,0.435352288,0.665923771,0.275552261,0.168019775,0.744857324,0.851090311,0.447063717,0.48331098,0.474347215,0.295540644,0.37002496,0.418507968,0.597815796,0.160955395,0.711478848,0.236436922,0.252871039,0.209889971,0.214131552,0.716340976,0.551986816,0.29417856,0.105245109,0.282465727,0.206461766,0.257035495,0.665735313,0.68711823,0.173781462,0.757767363,0.189117885,0.176099548,0.445055518,0.171983619,0.386835451,0.636678639,0.219552673,0.353947879,0.242295539,0.742659216,0.238871416,0.228589961,0.798710175,0.67879791,0.326872115,0.183251195,0.146327929,0.161483358,0.738972232,0.304231802,0.183315481,0.160689046,0.239046485,0.468292281,0.385681368,0.743652539,0.317510557,0.160289701,0.365030272,0.236290764,0.712729751,0.282569815,0.413556311,0.175757591,0.151445826,0.336650352,0.328364685,0.573924245,0.753967248,0.62324843,0.16170293,0.392284252,0.168349265,0.172377616,0.768729757,0.589736498,0.213184347,0.256681304,0.766150461,0.41739846,0.396489384,0.347123192,0.44963294,0.27934947,0.630365589,0.275130919,0.790147925,0.799780199,0.34435123,0.327167313,0.259160819,0.410699131,0.145168359,0.234846754,0.184687712,0.609037867,0.858047847,0.772961712,0.666486718,0.204402645,0.196790901,0.175249226,0.448548556,0.543027503,0.66847314,0.233385624,0.348508682,0.685929127,0.701752725,0.535242644,0.408824853,0.227906165,0.169465616,0.233669004,0.285153357,0.398875028,0.399988184,0.243668227,0.575331843,0.675290505,0.499889464,0.268424819,0.210536345,0.220156724,0.229249432,0.848366232,0.14068542,0.22663837,0.138463085,0.56941549,0.460376153,0.410320301,0.436990918,0.54598579,0.450319305,0.71731731,0.773603016,0.583905453,0.167732948,0.255552163,0.351580935,0.482570892,0.478365235,0.565540225,0.399776119,0.425749866,0.268797283,0.434297661,0.5953109,0.259713213,0.826275087,0.256719431,0.446068764,0.801180223,0.798760783,0.259549025,0.818554121
ALXN,0.65576229,0.599433534,0.560981476,0.681465694,0.318483589,0.166318091,0.74308667,0.780822461,0,0.734387634,0.167458736,0.402320532,0.734684088,0.563911638,0.528647618,0.64898521,0.23837052,0.218672041,0.490680959,0.745372094,0.495010309,0.344600145,0.414889117,0.696896924,0.78318497,0.774795439,0.368405334,0.54554784,0.200038228,0.581810366,0.755091248,0.145882005,0.221852688,0.413139733,0.521308773,0.571934367,0.581838012,0.573357668,0.472287718,0.350018918,0.809946487,0.164544973,0.595794252,0.573615137,0.635531004,0.599964217,0.199434282,0.250137333,0.617304244,0.76659738,0.500543989,0.656476747,0.732768776,0.285412488,0.281740957,0.806802893,0.208582609,0.783754687,0.835722188,0.394342791,0.822539539,0.393229863,0.387490391,0.772044352,0.535555981,0.678500779,0.213955773,0.763624455,0.694408573,0.190148222,0.390371013,0.539410114,0.792119349,0.759931276,0.715957519,0.231055641,0.797161304,0.787248579,0.703775848,0.450409096,0.471866221,0.505239136,0.234618437,0.566371351,0.732257314,0.540987396,0.655310057,0.169671784,0.86680276,0.412253372,0.836729171,0.682763133,0.627612707,0.532790793,0.296498307,0.252368015,0.402636748,0.659586728,0.470048776,0.706011968,0.787456535,0.226347867,0.397784542,0.679304135,0.618072344,0.238078228,0.404464235,0.414682487,0.608116834,0.410401613,0.594991498,0.281455389,0.72479528,0.270087922,0.266347051,0.603862166,0.479651247,0.762836007,0.473726006,0.798766131,0.599723682,0.721918699,0.379195985,0.169841641,0.196187813,0.166236892,0.764602168,0.695951499,0.746233857,0.481057168,0.361473436,0.233259671,0.757778448,0.58489197,0.225013204,0.30414394,0.489998798,0.424369647,0.619329995,0.719706842,0.70107814,0.591189823,0.544030152,0.545515895,0.648283407,0.294556521,0.265354358,0.370632793,0.657674406,0.829268489,0.765994857,0.643126509,0.198090609,0.873383994,0.658431741,0.796744319,0.361415209,0.46139538,0.390997732,0.47565702,0.262679216,0.501251243,0.262526293,0.253306187,0.218200487,0.805302486,0.685077445,0.55020976,0.469920007,0.384357348,0.466423004,0.493780901,0.459905912,0.589884844,0.487766613,0.251357225,0.54427592,0.234312171,0.523569961,0.396653425,0.149390206,0.230621855,0.831307247,0.183589741
AMAT,0.246358908,0.282252249,0.374265079,0.329173865,0.596907333,0.65380025,0.247561301,0.332408288,0.734387634,0,0.681169169,0.489842541,0.299761398,0.282715014,0.4098393,0.332932614,0.478370501,0.523569078,0.303440072,0.225545142,0.301780303,0.445511089,0.349481336,0.301399622,0.317728475,0.268914278,0.425237579,0.325890878,0.609024669,0.34120694,0.236046606,0.697569727,0.682743819,0.492947776,0.328226607,0.299417628,0.253870026,0.343317819,0.355339353,0.484557457,0.248742004,0.604235766,0.294156832,0.256199137,0.289155005,0.327213506,0.696917866,0.490435537,0.275715724,0.325813347,0.360259495,0.296342565,0.142951052,0.551396304,0.568049228,0.233432773,0.655262235,0.262064348,0.263789205,0.453423977,0.270559276,0.375760246,0.456243302,0.216762084,0.359679263,0.22916182,0.695520869,0.269786514,0.23800404,0.748742772,0.630435852,0.287712175,0.225893724,0.34500322,0.255192793,0.634600354,0.24434684,0.277317875,0.365776137,0.351579356,0.388813495,0.371344638,0.629552892,0.328256735,0.278213995,0.40804785,0.309535403,0.59993759,0.209737161,0.428165009,0.27571214,0.27939266,0.258039889,0.290280885,0.498324905,0.635063245,0.492173393,0.322552799,0.354357575,0.268798166,0.20635909,0.642624616,0.53943379,0.299744502,0.252781363,0.648304424,0.441597679,0.435490678,0.2951146,0.436321489,0.328515139,0.489602917,0.191788778,0.62067393,0.640292391,0.300591313,0.329460854,0.251260429,0.403425466,0.28066082,0.309181517,0.292030168,0.525712069,0.761158475,0.642692955,0.577590984,0.266408784,0.265423521,0.275725487,0.343586015,0.48359882,0.545763533,0.268557532,0.290836451,0.548865759,0.611440303,0.337209179,0.465930629,0.31681893,0.275487728,0.257356399,0.366957525,0.308618855,0.360857101,0.22843242,0.471767055,0.582551894,0.435743315,0.306922129,0.239752984,0.241917829,0.240841313,0.743745049,0.282319514,0.284475228,0.275494395,0.455684819,0.390405627,0.422893296,0.342231354,0.505171931,0.287406447,0.585318764,0.641587055,0.498820964,0.249308456,0.230695103,0.33888019,0.398420806,0.367191038,0.452475022,0.30829081,0.338924055,0.3035006,0.322197756,0.520518101,0.312575018,0.696931157,0.322389945,0.452772355,0.753229382,0.695854915,0.231964036,0.69922693
