,AABA,AAL,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMGN,AMTD,AMZN,ASML,ATVI,AVGO,BATRA,BATRK,BIDU,CELG,CERN,CHTR,CMCSA,CME,COST,CSCO,CSX,CTRP,CTSH,DISH,DLTR,EA,EBAY,EQIX,ERIC,ESRX,EXPE,FB,FISV,FITB,FOX,GILD,GOOG,GOOGL,IBKR,ILMN,INCY,INTC,INTU,ISRG,JD,KHC,LRCX,LSXMA,LSXMK,MAR,MCHP,MDLZ,MNST,MSFT,MU,MYL,NFLX,NTES,NTRS,NVDA,NXPI,ORLY,PAYX,PCAR,PCLN,PFF,PYPL,QCOM,QQQ,REGN,ROST,RYAAY,SBAC,SBUX,SHPG,SIRI,SWKS,TMUS,TROW,TSLA,TXN,VCSH,VOD,VRTX,WB,WBA,WDAY,WDC,WLTW,WPPGY,XLNX,ABBV,ABEV,ABT,ACN,AXP,AZN,BA,BABA,BAC,BBL,BHP,BLK,BMY,BNS,BP,BTI,BUD,C,CAT,CHL,CVS,CVX,DCM,DEO,DIS,DWDP,GE,GS,GSK,HD,HDB,HON,HSBC,IBM,ING,ISF,ITUB,JNJ,JPM,KO,LFC,LLY,LMT,MA,MCD,MDT,MMM,MO,MRK,MS,MTU,NEE,NKE,NVO,NVS,ORCL,PEP,PFE,PG,PM,PTR,RIO,RY,SAN,SAP,SLB,SNP,SNY,T,TD,TM,TMO,TOT,TSM,UL,UN,UNH,UNP,UPS,USB,UTX,V,VZ,WBK,WFC,WMT,XOM
AABA,1,0.412260024802,0.344283716141,0.479949876594,0.528234544111,0.458776813959,0.485330904186,0.474130387597,0.503611979402,0.530371733812,0.50681416273,0.494008609683,0.448277801377,0.494749716336,0.486698512284,0.436011489122,0.429832308454,0.433127001891,0.472805589623,0.477828494191,0.497500275471,0.465495295814,0.49061785357,0.47695316297,0.468663161329,0.471019758642,0.48189000265,0.474269006393,0.35357014807,0.472779566933,0.444062672589,0.494841975065,0.509473345751,0.502249664439,0.551673417924,0.479998497052,0.464918757732,0.481832647016,0.43093113616,0.426239222732,0.420091241786,0.464903691729,0.449617388428,0.444591298323,0.505657046847,0.473739818262,0.489230696598,0.492196127654,0.468071704363,0.483675448887,0.464229023207,0.461488337778,0.507355277393,0.524428954099,0.524428954099,0.478770463865,0.448138954604,0.507175319623,0.492145555884,0.451376263376,0.492498456097,0.498152612525,0.45203533816,0.471154181733,0.427531118877,0.518114662647,0.481019480597,0.434136877916,0.497695096023,0.478127480499,0.453817323763,0.483869978765,0.482593524128,0.444432163569,0.48293890478,0.465380626695,0.502564828057,0.442619711933,0.515798625137,0.458533666259,0.502753759323,0.500136985615,0.505062821332,0.48841870071,0.440700739217,0.45574410982,0.509215384756,0.476832749056,0.455514434142,0.473544071452,0.480957435575,0.543476901492,0.477624127764,0.407247204511,0.315305663801,0.469733482332,0.517890594933,0.509469896166,0.507295731447,0.484748105546,0.460525964123,0.423963111701,0.490745352192,0.310860905408,0.47852979962,0.403523446033,0.466001927016,0.505791027259,0.472191840055,0.435297796144,0.4718595631,0.497385296692,0.456010445399,0.453016505051,0.514615683548,0.449816506888,0.478009345834,0.475884700561,0.52510469564,0.41542796413,0.478022327837,0.335381365468,0.445116753059,0.418449522116,0.45429014499,0.491975745038,0.458177802979,0.506567545387,0.470093378257,0.497290429801,0.493986099181,0.500250634152,0.500250634152,0.469308453285,0.389122185498,0.40913280027,0.379697028531,0.413988856645,0.375441722166,0.4492397009,0.478551511118,0.480080085167,0.507457000463,0.469642270054,0.51364513289,0.476367282658,0.404621976662,0.464394802544,0.476963054836,0.423236641163,0.475627212368,0.498755902795,0.504230309928,0.490956808802,0.46748163497,0.391365025936,0.477662547422,0.501163772766,0.476994396168,0.411292256295,0.499454161975,0.512714663871,0.527849625838,0.471040863797,0.481218486132,0.442899733883,0.379856287812,0.475176037887,0.438845358379,0.510166425317,0.509787575323,0.507750061702,0.509698347541,0.448119406139,0.51219560782,0.448385387718,0.483181106142,0.512968439094,0.506498168824,0.463624681154,0.497647460254,0.346258419129,0.434603086379,0.43346761518
AAL,0.38896521882,1,0.266925253388,0.390123187072,0.39661125337,0.364889548352,0.370903731364,0.359542360001,0.401993641102,0.397835888627,0.400833643905,0.387515498059,0.378716064689,0.384096348502,0.383466106863,0.348430144011,0.381002193743,0.38044430623,0.380369461228,0.389200495417,0.401929614639,0.360178106336,0.397752254745,0.39811637903,0.375013101685,0.374166256108,0.386188059268,0.37445045859,0.326643954996,0.381167136809,0.386741009311,0.396331149477,0.400353472798,0.385797586233,0.423800614196,0.377918645009,0.389756736622,0.405369507499,0.364094658943,0.356349147953,0.365569845447,0.367731046979,0.392060861498,0.390964708428,0.400919450417,0.383672931111,0.388161606956,0.385328059649,0.380975913729,0.373278762393,0.372176135208,0.355208453391,0.405225512684,0.437800164041,0.437800164041,0.365830070544,0.374616311284,0.417706395502,0.408086283483,0.395578064395,0.398180354175,0.38388075269,0.3834490981,0.386881858567,0.385916993306,0.412200900373,0.385848733873,0.394190754725,0.39437302305,0.399720455835,0.363071716595,0.415931021478,0.379334985298,0.360076479225,0.422921396758,0.360936444219,0.394878279899,0.385833630495,0.410621903921,0.348958483426,0.39152363605,0.384956039877,0.394931092858,0.385037566292,0.3737143689,0.364709817346,0.396985979915,0.460124499918,0.361666508745,0.353727321371,0.411087716104,0.412768836482,0.396171190791,0.328077592581,0.286440097001,0.389092501675,0.410245350868,0.408086040385,0.403378454601,0.393156333423,0.391731598767,0.369063551835,0.386950339995,0.278456564934,0.400571221498,0.345425283203,0.37768528907,0.387616325364,0.380373544645,0.353090266133,0.36874826146,0.398677998457,0.396187581147,0.367606849729,0.414380317507,0.365265585415,0.348701424044,0.388802552608,0.405476467578,0.344961328242,0.367586563369,0.294292255873,0.391553320126,0.323977838534,0.358090281993,0.381546037436,0.360983966463,0.396571562843,0.377009527635,0.39483211992,0.408324763128,0.376298515536,0.376298515536,0.364589490655,0.29825313815,0.352977553427,0.29838178126,0.32782790488,0.2922616145,0.341919602814,0.36819974333,0.395594629199,0.406178593838,0.37948126454,0.419164899458,0.364431028751,0.31850671301,0.379511210789,0.377816290339,0.333945520518,0.381626780409,0.390262685159,0.395402180348,0.38296391847,0.378316717877,0.328834775295,0.389776284741,0.398057913294,0.365242410156,0.358792523425,0.382553288717,0.403691357597,0.41875368872,0.367860929665,0.373954759535,0.378996103157,0.3156853864,0.394894302702,0.356446476463,0.39040800576,0.394324068478,0.385880397189,0.392373833256,0.378076234102,0.401005352638,0.361003878605,0.399953493574,0.39078479147,0.394733834953,0.376440232286,0.39274264889,0.285179489898,0.349612014706,0.361362613079
AAPL,0.268279099377,0.229768576485,1,0.26362327477,0.296505792611,0.285940054994,0.33306766603,0.313888242219,0.274710725309,0.28425789181,0.265071800118,0.319447196876,0.28531002946,0.299304115751,0.266792322959,0.290818669869,0.237766238584,0.238034497212,0.246944826578,0.286322647938,0.270534560887,0.2729302319,0.281848093778,0.308611818422,0.276260311092,0.276945844837,0.295335590603,0.293976710429,0.252327448344,0.302411122083,0.292090826615,0.275304985231,0.259358185168,0.290045047086,0.269256585301,0.271886546063,0.284649842678,0.252067637771,0.260590812901,0.256294789646,0.326884068204,0.309312483604,0.246941580283,0.246674569476,0.30576435953,0.283731623703,0.289003862264,0.289249854952,0.314873392932,0.315037702174,0.30532282748,0.292980125254,0.288175278324,0.274575367393,0.274575367393,0.332962270269,0.294543641309,0.266788957725,0.290803318096,0.246839705625,0.242403324212,0.292888967612,0.241596375979,0.260764448908,0.255326877197,0.29836564071,0.305879398378,0.242408227154,0.289646863338,0.272948387115,0.296812069938,0.246726746741,0.295176754302,0.268865074122,0.290355702993,0.307670888552,0.295949028953,0.249459387086,0.271692441823,0.319789163093,0.285415954854,0.288100315929,0.301354499141,0.290918942938,0.231011862852,0.284173972487,0.282985815132,0.2319728321,0.257822225508,0.251962445588,0.251942163473,0.272674343863,0.275162618295,0.344099825776,0.248823530951,0.276297044398,0.282262979012,0.273738544696,0.285130871903,0.288249122144,0.293317476081,0.339760300009,0.280884830634,0.209063925352,0.274929028072,0.257415147671,0.313518010299,0.271082717157,0.285382909561,0.294908277302,0.326338426934,0.27072949074,0.274135388966,0.288607737294,0.270968835446,0.291074658138,0.295382854535,0.293389337699,0.3087220868,0.333710633117,0.269801085414,0.272304552153,0.280112188588,0.35286617252,0.285946593221,0.299234838696,0.313864602439,0.292919604078,0.28294045427,0.276387992913,0.286704506953,0.273737598802,0.273737598802,0.288185814991,0.350062292247,0.285846650612,0.347268709909,0.306425177321,0.321049855764,0.310386218785,0.312461001887,0.305116943686,0.295771039152,0.31873586327,0.271744132422,0.258650857617,0.28117219305,0.277236847819,0.276478059902,0.256002780489,0.300381845385,0.289548158646,0.282799671524,0.27982312024,0.289484056123,0.247844462002,0.280789045203,0.321895115534,0.284395302031,0.357573325652,0.266514388401,0.268742169619,0.27108136665,0.300289670238,0.274766451227,0.284758020547,0.331367719032,0.282669708817,0.288912324894,0.288800540171,0.290344624596,0.280137655424,0.279096602921,0.295452555173,0.27926820634,0.247631187954,0.288164886471,0.276214638814,0.268323315405,0.324520628198,0.273149012582,0.267243512418,0.28437916211,0.293501913945
ADBE,0.485473487771,0.389649873553,0.350196194149,1,0.487773491783,0.408908997432,0.447057398471,0.42698448224,0.479673214662,0.491955404886,0.481225074706,0.457228911893,0.43471892233,0.429854473399,0.495707670172,0.417996929397,0.420599042153,0.421761284373,0.41217967652,0.475029034705,0.481449290105,0.449603049258,0.479626765631,0.427077786579,0.469339400986,0.449651323943,0.480451527535,0.404559723256,0.377563225754,0.462955877472,0.424169086427,0.455134836948,0.443480872395,0.480912721076,0.513883881812,0.482228984849,0.466764852742,0.45358489855,0.387747277233,0.406037469747,0.416079206418,0.466035371667,0.450640830475,0.450803677596,0.460140924525,0.436991525607,0.443914646036,0.470968096502,0.436244349471,0.484237579751,0.427733550908,0.440150956651,0.454077392301,0.518030365088,0.518030365088,0.416241204497,0.433079982045,0.4781323109,0.459658542078,0.440823748858,0.449271835725,0.470624128099,0.41266844817,0.40598128948,0.387434100502,0.477915677016,0.4494660111,0.39504737178,0.459873495357,0.453941015742,0.458814696398,0.485689529351,0.490862251409,0.412833648761,0.479428059593,0.427252696688,0.461718131321,0.399684577564,0.510819431487,0.428101661077,0.43397418685,0.45556586996,0.491819640305,0.433690575355,0.391324266521,0.421514487568,0.468666416599,0.476900567788,0.3877661338,0.44421575732,0.451914212263,0.495301720067,0.489440809336,0.378731606853,0.292642082947,0.466340610348,0.469539762937,0.493249700504,0.436670204223,0.451286976469,0.47192178746,0.422356343989,0.399347742508,0.31153284638,0.460856787945,0.395340049922,0.41425407732,0.419276586702,0.445490171993,0.401325778187,0.414988225871,0.438430244842,0.41752200229,0.399028303959,0.489275757367,0.439033247674,0.39400854055,0.449600623849,0.481703690931,0.398868365775,0.405725059714,0.309910476275,0.466483480798,0.379061031945,0.399997592095,0.413135638549,0.433549786751,0.424505909402,0.454999808349,0.406850226747,0.490233572398,0.420026245301,0.420026245301,0.396382591351,0.334323011081,0.390397826321,0.349153159866,0.402403833982,0.32623353023,0.397664839374,0.43915774533,0.432637496676,0.423289877487,0.424394857738,0.460847225479,0.459279985925,0.32513148886,0.402286230496,0.443898408186,0.379908145133,0.419920626284,0.407265465259,0.463055311324,0.465272269653,0.437001400304,0.367470156503,0.477508303528,0.443765046544,0.400150471179,0.360984743016,0.411503539571,0.413223237213,0.511726647176,0.404534841172,0.402789072883,0.399307248535,0.362790837569,0.438541504312,0.438554891315,0.418769063196,0.426001578772,0.412295450243,0.4102407247,0.46077284084,0.481505648121,0.425633459605,0.443534121483,0.480799972116,0.464562529187,0.430633746561,0.411924227802,0.303699008639,0.382194852478,0.42195360001
ADI,0.514445233811,0.397569163493,0.404327531841,0.473378738616,1,0.44373426964,0.470803024801,0.457851809709,0.495369017741,0.47865209671,0.490513017067,0.469908594494,0.490794837188,0.423415008261,0.482179876653,0.424185111722,0.424545058419,0.427105440676,0.406939477505,0.488161540766,0.478541293095,0.464615131553,0.485930508531,0.461963275874,0.468421798242,0.458861283586,0.473814354977,0.391222957129,0.396678842811,0.474956158515,0.467549392375,0.483706857842,0.493203250611,0.480473087851,0.523999187445,0.485216507705,0.470428474982,0.492522026761,0.451520847921,0.410919571404,0.447422395672,0.504111321149,0.491862954145,0.493034567878,0.472176962122,0.48353010457,0.473286767237,0.484399956911,0.485599383931,0.491740849722,0.429444991483,0.440027558986,0.481046521626,0.523929921492,0.523929921492,0.458172862593,0.462885194705,0.515841364692,0.500082646089,0.443553303093,0.492438923187,0.473254622516,0.458417258599,0.41838953095,0.426509859271,0.484830452345,0.461875998189,0.466341150979,0.482747855877,0.476426892325,0.46929067745,0.470541974061,0.490727634632,0.448305515594,0.485248722761,0.46307319945,0.495417007395,0.429239946614,0.521265703593,0.449196975408,0.422829520194,0.481637299863,0.487986489455,0.477838150506,0.442057651863,0.458581792843,0.495129236559,0.482753019603,0.367814566399,0.445373687175,0.447004459722,0.513426018756,0.503802581253,0.391360716915,0.334825126839,0.478609074714,0.510237985069,0.530790850706,0.421907767679,0.480987911575,0.494124197568,0.44783533732,0.397429571396,0.333570497879,0.473248063606,0.416089936398,0.432694556162,0.400683214977,0.475383532899,0.416108889362,0.407126504801,0.43262956653,0.414532003692,0.405177067682,0.512695882731,0.485043440175,0.397058249306,0.491786277306,0.49135719717,0.419355414614,0.3897086759,0.357385828736,0.513960639788,0.425464189062,0.438965539036,0.402892321323,0.464845243358,0.408352057097,0.48558690491,0.404439070387,0.508516383178,0.402026712143,0.402026712143,0.382645102078,0.378273102199,0.420118021624,0.387011564643,0.42576610079,0.366480048634,0.427406484379,0.488001958364,0.471235112201,0.406156211568,0.439026328957,0.517667371704,0.453921489299,0.365807192565,0.38115734574,0.447008490072,0.431807119019,0.402556439701,0.396532262665,0.489532497794,0.496698998363,0.483549892936,0.407766278419,0.496888945998,0.433596210415,0.387128386482,0.399913853034,0.418052785724,0.42562627,0.518203525502,0.411082802041,0.400954110679,0.458699191576,0.374671838103,0.413274700874,0.456883105038,0.416349539892,0.415994698524,0.405019476173,0.400986516979,0.4721601516,0.493388055505,0.435411264564,0.464111175211,0.480120726369,0.497873331752,0.470058255244,0.397083373804,0.330080778957,0.440342840568,0.44899266693
ADP,0.403216631597,0.327337544665,0.291450516247,0.370740748401,0.39571611805,1,0.390307109055,0.358591443984,0.402368188885,0.387303818454,0.39396184154,0.389931650328,0.378012046057,0.374926001214,0.386451112487,0.354751025468,0.339414667344,0.342853368678,0.368447163453,0.37214826036,0.392211116219,0.369316779301,0.386057747815,0.364872823012,0.380744322813,0.376707449798,0.382505759643,0.350725631967,0.325023751871,0.386280808091,0.365587652096,0.382227068076,0.37068648723,0.392761079758,0.401532331475,0.383627132789,0.387593157041,0.383735284678,0.354005817459,0.338983636921,0.370278634663,0.376378168388,0.375565356826,0.374852903757,0.366410098626,0.396506004318,0.361896082674,0.368384903654,0.373220771493,0.397689653514,0.370987874539,0.348234072252,0.36761505055,0.416399466735,0.416399466735,0.343813755281,0.352120953688,0.390966167665,0.386063293987,0.359494378296,0.384473949489,0.373970794532,0.365559426766,0.360008080437,0.365632486157,0.387606863553,0.383414097844,0.366395761848,0.372072799188,0.35049115057,0.347229713929,0.408455807982,0.380683984202,0.377716300211,0.403143302776,0.373643711074,0.39353106437,0.350738323693,0.416750676945,0.355893655937,0.369402635243,0.384300521767,0.402703716608,0.379003989031,0.338272896834,0.362182281054,0.371916954469,0.427292530558,0.33296608913,0.352425111032,0.399952184265,0.403375969948,0.383262826358,0.337084335999,0.273520683854,0.379045489187,0.400869273205,0.413846547147,0.377391710869,0.384143382027,0.387181409753,0.337895705745,0.351972448764,0.257345718224,0.399986946296,0.336059321974,0.358807453417,0.362391979026,0.379128483663,0.338566967922,0.355634490898,0.367155168586,0.353164899258,0.349576806778,0.414273644276,0.366135153879,0.349869456577,0.367622131064,0.387060018163,0.348365945767,0.350445344858,0.278176772453,0.380255627841,0.316287149504,0.34984497006,0.360308635688,0.359042092618,0.370943568491,0.367552519771,0.358327534202,0.400405345801,0.361701866481,0.361701866481,0.350728961278,0.311173275516,0.356667789985,0.307215532867,0.356262220334,0.286773307887,0.343980602162,0.350248843765,0.347239049796,0.377221666716,0.355832078523,0.393466964493,0.362936228902,0.290513711049,0.341859973984,0.371790744373,0.327244728681,0.354816458672,0.365435335185,0.369509881975,0.379127523793,0.377562450868,0.317138998814,0.392186640802,0.376200194958,0.348086993275,0.32363853849,0.356334374766,0.374869099939,0.418966211945,0.359228444039,0.346985882093,0.348036880457,0.303963298247,0.372169194131,0.378654394304,0.366320075159,0.372247758535,0.365095597715,0.357629838495,0.363661123334,0.392558390403,0.353487619454,0.378594415896,0.373507255627,0.383511152634,0.375980172915,0.359015072774,0.272909840509,0.342013990239,0.344192943128
ADSK,0.406639556065,0.348067224381,0.315551404873,0.395437392053,0.435378768124,0.392368490768,1,0.371718003763,0.405268694542,0.421878158455,0.413051373902,0.419129757012,0.425411030887,0.402307353521,0.412017551527,0.375705988871,0.367403553178,0.368462411226,0.416913742052,0.394467304987,0.395861565045,0.394455535384,0.408582463066,0.407012440839,0.373458781843,0.395633082609,0.400498107709,0.418785015826,0.357196852189,0.380257522937,0.385789313022,0.382457682073,0.413865340608,0.413244099929,0.431624438504,0.384439470834,0.393998485616,0.399308973243,0.369617064321,0.355556166463,0.389863847455,0.406196027082,0.400189306976,0.39749655,0.43740149573,0.39476395237,0.401732889674,0.412234281754,0.392852542563,0.414689771071,0.423998901785,0.374846383828,0.414128922534,0.418129919659,0.418129919659,0.394828681595,0.383419320612,0.417860241239,0.390134995334,0.40250337352,0.419499380924,0.401880027418,0.384230611005,0.406235215645,0.395812901961,0.418947267171,0.396012392457,0.385493722278,0.40978580372,0.385033765187,0.39597658356,0.429115141254,0.411414345477,0.390223238997,0.448378637889,0.398326373805,0.405989485347,0.389835870764,0.411080224351,0.37685985146,0.419678803136,0.402370692693,0.420107716969,0.411965275061,0.367274689355,0.390398720951,0.38940937377,0.414455425083,0.383280286544,0.373154732477,0.420802430856,0.431682933113,0.394240721545,0.374292889285,0.33597167708,0.399304331194,0.403842644956,0.410341080337,0.427219185091,0.387204891725,0.394330849166,0.349760996516,0.425053715786,0.282226344904,0.423141373782,0.361722666475,0.402078438153,0.435427835275,0.414380970405,0.401171086107,0.401635894733,0.431260338159,0.405542167592,0.408296667681,0.42636628884,0.392668196049,0.413516912989,0.413769503992,0.4186011264,0.376344084402,0.41178750354,0.300984581856,0.425545388575,0.354244043643,0.38712340568,0.421407037835,0.369606376231,0.436544273547,0.38955993142,0.437031179278,0.422418467143,0.422394907613,0.422394907613,0.405822955646,0.356690782027,0.378620923696,0.333886321207,0.353203059949,0.330077808899,0.375221999235,0.39401939029,0.401984080461,0.437548191639,0.405860334027,0.418339256155,0.380576434243,0.315311101981,0.409594326147,0.389083939767,0.34319002901,0.421306776905,0.414464765497,0.400943794556,0.395840521488,0.402996482045,0.322496286334,0.384555896334,0.442149324093,0.407568662396,0.387171551743,0.413255763238,0.424655633263,0.388790929517,0.410173214347,0.422357115797,0.39237792403,0.351506408107,0.418780541812,0.380285046234,0.41914333665,0.428847813502,0.438628681773,0.439763119651,0.390865069778,0.403417814945,0.368495547684,0.405454981675,0.420097763416,0.41891372214,0.40897913784,0.421853225078,0.312125215138,0.388330347278,0.382598763446
ALGN,0.383763140638,0.314231514221,0.35598198754,0.35750948658,0.391924164395,0.364575589948,0.387605917908,1,0.38715566236,0.386976628161,0.377114231658,0.371264550653,0.328661114653,0.356176038913,0.369920554374,0.350582165631,0.336313571612,0.336301814224,0.33488056111,0.363696595599,0.370865468797,0.352003194932,0.384607262124,0.378322892446,0.358346355407,0.365221455795,0.372422397356,0.366560167399,0.313118934065,0.35687959244,0.35172539043,0.347821856874,0.353074290488,0.362671642801,0.391174137491,0.36845636692,0.384624959559,0.333310380299,0.345953144562,0.330404204694,0.356166454752,0.378781835652,0.333618248486,0.329174412182,0.379258334248,0.367296198615,0.360293783017,0.364057041401,0.367214776373,0.348999245109,0.347517444797,0.338100216159,0.368498314468,0.400283271983,0.400283271983,0.351762829023,0.34314178487,0.382423972445,0.36910093101,0.329281446178,0.327316346872,0.36488572329,0.300296865965,0.356569501869,0.341967403516,0.367266508263,0.378502508275,0.341383443962,0.372965579874,0.343629587577,0.363610402138,0.339741273118,0.383867968026,0.340041181035,0.352117333434,0.36781712726,0.381203391275,0.312633516917,0.386112476313,0.360433988239,0.381289129718,0.36934538292,0.398346315377,0.366031826664,0.326202073056,0.335385109741,0.34711089639,0.338952080125,0.363802953507,0.343302315906,0.315930283208,0.384953478592,0.379470158884,0.351294564316,0.272246590799,0.358511732743,0.375306991932,0.387581433045,0.372574730753,0.333375724349,0.376667446814,0.348248848569,0.34762428967,0.240524244433,0.320829568769,0.305418065337,0.345314325389,0.368301379877,0.376906220824,0.339925508853,0.352940432415,0.357251747011,0.346186340083,0.331673034313,0.374814106992,0.345677364047,0.351752045883,0.366837338939,0.355471481749,0.368567478368,0.360808838176,0.257097400636,0.381392612234,0.32318102141,0.337531104101,0.369864635186,0.332959932055,0.369756103981,0.358134825254,0.347247633382,0.382443013139,0.369235680107,0.369235680107,0.341536687108,0.295157789143,0.313597480988,0.316758243777,0.33424640245,0.304524972055,0.331968970812,0.349736669487,0.351356052386,0.371306406989,0.339582006204,0.367980420159,0.353698555988,0.286094221272,0.35989535801,0.337463657458,0.30904452322,0.362470755248,0.360598633526,0.350582572177,0.360087582869,0.36341919434,0.310604523606,0.366675683574,0.372926405756,0.360967355157,0.321774796667,0.363869269174,0.35382249496,0.380912167736,0.360075773515,0.351511820737,0.339080022297,0.276932329787,0.336377979499,0.347771021951,0.364160814481,0.373709253646,0.373750288073,0.366169261072,0.336359349913,0.361978882945,0.31469306136,0.357345660887,0.365543677246,0.360994330576,0.364945888591,0.358248569891,0.263031550121,0.336043272142,0.351212666254
ALXN,0.512812788558,0.426670131635,0.403798721663,0.474349334164,0.513329599745,0.46445983302,0.470934154732,0.466361094689,1,0.515966513733,0.500711772439,0.488036189558,0.496744132265,0.478017460884,0.509510364992,0.431467180983,0.434754222065,0.438357197095,0.461846552042,0.489224745032,0.492346027406,0.472529112203,0.498130684942,0.459151495746,0.46300829191,0.477099333947,0.487552408433,0.484738115686,0.404493878733,0.473782409016,0.460262635355,0.49159267889,0.522278815592,0.503969865566,0.544039127643,0.471309717918,0.476371176634,0.50351159381,0.412469940619,0.436466752254,0.461388663501,0.481508869754,0.491362754551,0.49042371505,0.482658318837,0.457443315962,0.458733902268,0.502049124464,0.476021681564,0.498366349054,0.466306367547,0.4623532038,0.506177167799,0.504087623631,0.504087623631,0.478785799271,0.471799852103,0.523884167806,0.485931590233,0.467563328546,0.517475304724,0.506184244465,0.466601301018,0.478111756564,0.436521463823,0.506945509447,0.467733560633,0.42301814207,0.496878450736,0.48416161225,0.468657000721,0.484245135176,0.502568263882,0.459797108009,0.511913800963,0.445757620307,0.509722022766,0.444252696809,0.522596284756,0.456154613977,0.508757731677,0.501500890842,0.494082132798,0.505476636124,0.417606725233,0.467320786037,0.514959322318,0.495554154251,0.452331422154,0.458187942036,0.485090048743,0.541197196072,0.493452304244,0.416677077679,0.352537482377,0.46490825379,0.510146684539,0.511285288593,0.497630255673,0.465916972857,0.45656232965,0.43909214867,0.464275611222,0.345103916609,0.4945559386,0.390739143157,0.474992103976,0.473119111685,0.460390366272,0.421538873561,0.443576500538,0.489638897204,0.450628427233,0.451629728163,0.513605481922,0.476585103157,0.466849953388,0.500750258447,0.509970556801,0.423706371819,0.461239051893,0.361180850522,0.500286125829,0.43481142805,0.443613767451,0.474380591407,0.453631482005,0.498875206476,0.468407341725,0.464734814039,0.504634676341,0.483558290851,0.483558290851,0.445259237928,0.370407963767,0.418872373567,0.399402564252,0.39634062139,0.346156982591,0.415445157293,0.487999539147,0.479723159101,0.492052830426,0.469306376596,0.516246798224,0.466819506303,0.395424820339,0.454269100462,0.461274372992,0.420993564629,0.45710799049,0.48466299182,0.49906980833,0.473909837884,0.474840841972,0.374732466664,0.486390935075,0.486566452559,0.457487447301,0.380293535256,0.46497946543,0.494296996594,0.50598310868,0.45637536587,0.460775932842,0.449277436428,0.350030869088,0.468731157456,0.445358688861,0.488797956355,0.486903562196,0.490904438404,0.477967610967,0.469298841753,0.50504401384,0.449929587923,0.491336848469,0.490695942067,0.503741367722,0.467464160436,0.466947183841,0.326895017962,0.432146552333,0.452196604916
AMAT,0.531817263943,0.417618962457,0.394003968103,0.479506579901,0.507424330901,0.442027864042,0.485443356508,0.44448496604,0.501517054733,1,0.488127097048,0.474157194432,0.483165161916,0.455723301934,0.498084085294,0.429231291844,0.426727838814,0.430204937501,0.420347606649,0.477356974551,0.503601547998,0.463227036196,0.498625245866,0.456327680176,0.469836137412,0.464502241065,0.507133358224,0.413552136986,0.398089215109,0.488012366943,0.46214680791,0.465993332966,0.462152003558,0.497734097876,0.526961441162,0.504605742816,0.490395266715,0.481239925014,0.44147212619,0.437538197218,0.454256437364,0.502077436231,0.472527667247,0.47249247388,0.456513106367,0.478732264062,0.457758989802,0.469990560717,0.472914875829,0.495864670327,0.432712982605,0.445090906454,0.471643033211,0.508500499587,0.508500499587,0.436128683169,0.430352669387,0.511824538496,0.476855635187,0.446246786573,0.479819527491,0.479755266386,0.437231729208,0.424602914498,0.414692224988,0.475664099125,0.468666563786,0.427686438385,0.478403698155,0.455076353333,0.469524076567,0.487877303899,0.499946060787,0.443551997631,0.477823698044,0.459014036148,0.491761647832,0.419643384299,0.515412500403,0.455838230014,0.441511602595,0.474941565032,0.492794254098,0.46452492791,0.439108104544,0.458795057698,0.483382930096,0.48124108499,0.391316429997,0.476848160386,0.455014142303,0.510842608098,0.492525746645,0.397475928136,0.331600792647,0.47402970008,0.496048907726,0.531292085145,0.438654858982,0.47017287022,0.510604499157,0.442054446926,0.415450130028,0.322578327354,0.467723329887,0.401382553254,0.429789884417,0.430606589498,0.458069445572,0.394722155162,0.417553071515,0.45327350254,0.409947540087,0.422896401277,0.519012613691,0.476121047812,0.411197623749,0.448018148955,0.489499292068,0.403873764376,0.411378208438,0.335145055589,0.499709009499,0.404785597701,0.424454945036,0.426880888556,0.457224723991,0.430058469307,0.47736241131,0.422704537845,0.493560707049,0.428332111023,0.428332111023,0.401632949609,0.35254132381,0.417916595271,0.37864559676,0.438089477857,0.357057357786,0.415121290824,0.46103484584,0.447901940788,0.431547134844,0.440900460207,0.488482247894,0.458914130512,0.337111713377,0.410199867321,0.451914161004,0.409770012316,0.418782961821,0.419142881793,0.480799278012,0.485268565809,0.452200951388,0.39889242011,0.504608955078,0.44187561654,0.408999970728,0.346834965602,0.431473063041,0.440034847783,0.514967050108,0.420867884071,0.409274046829,0.432363128361,0.375388968184,0.435454661901,0.453263430806,0.440342092764,0.432397361853,0.429116488449,0.423582769913,0.453422694423,0.490046701058,0.443976489181,0.462533833742,0.487850043652,0.489957908097,0.463783597679,0.422205816219,0.32688487518,0.421069541418,0.447321608468
